Wall time,Step,Value
1694613302.9885795,399,51.00994873046875
1694614099.714301,799,38.23796844482422
1694615055.0651762,1199,28.85185432434082
1694616113.9439802,1599,23.354854583740234
1694617179.160056,1999,20.55475616455078
1694618047.6562226,2399,18.79131317138672
1694618756.7271173,2799,17.90679168701172
1694619731.524146,3399,16.26755142211914
1694620375.0592887,3799,16.25667381286621
1694621019.6434188,4199,14.454887390136719
1694621662.5712185,4599,14.0720853805542
1694622304.7257812,4999,13.004926681518555
1694622948.1172605,5399,12.674015998840332
1694623589.6797144,5799,12.18773078918457
1694624531.0305662,6399,11.696772575378418
1694625176.9743342,6799,11.536371231079102
1694625819.6050565,7199,11.952549934387207
1694626463.0810506,7599,11.006865501403809
1694627105.3506198,7999,10.772713661193848
1694627748.3901517,8399,10.337190628051758
1694628391.0794845,8799,9.952496528625488
1694629335.6352,9399,10.008865356445312
1694629979.9740877,9799,9.53128433227539
1694630622.723654,10199,9.662181854248047
1694631266.1817503,10599,8.953484535217285
1694631909.1713083,10999,9.066444396972656
1694632553.676925,11399,8.558611869812012
1694633199.687893,11799,9.063286781311035
1694634143.5981104,12399,8.593498229980469
1694634786.8349698,12799,8.620199203491211
1694635429.6736965,13199,8.444931983947754
1694636074.1681907,13599,8.091362953186035
1694636716.7147937,13999,7.893988132476807
1694637360.3315322,14399,7.907005310058594
1694638004.0751853,14799,7.550199508666992
1694638945.7679837,15399,7.52530574798584
1694639589.702254,15799,7.665802478790283
1694640234.6575534,16199,7.380646705627441
1694640878.4103994,16599,7.458469867706299
1694641550.5620477,16999,7.161441802978516
1694642222.1503417,17399,7.436771392822266
1694642885.939011,17799,6.7416582107543945
1694643862.0182843,18399,6.98745584487915
1694644506.8700194,18799,6.909913063049316
1694645153.7001717,19199,7.08541202545166
1694645831.221766,19599,6.568359375
1694646517.4814646,19999,6.885004043579102
1694647250.436914,20399,6.640453815460205
1694647989.5293517,20799,6.59681510925293
1694649146.9517546,21399,6.953922271728516
1694649875.0970314,21799,6.60318660736084
1694650563.5672417,22199,6.700643062591553
1694651298.2710006,22599,6.536218643188477
1694652008.7993329,22999,6.406391143798828
1694652753.6689584,23399,6.422455310821533
1694653444.0608616,23799,6.399777889251709
1694654518.1658235,24399,6.4515228271484375
1694655372.2683,24799,6.145756244659424
1694656169.0576649,25199,5.953647136688232
1694656871.29088,25599,6.092706203460693
1694657532.0861802,25999,6.098343372344971
1694658264.9857528,26399,5.873740196228027
1694659032.7233574,26799,6.058206558227539
1694660166.0125673,27399,5.635105609893799
1694660877.772419,27799,6.1360907554626465
1694661712.5759757,28199,5.754479885101318
1694662494.684137,28599,5.949179172515869
1694663498.2300756,28999,5.752470970153809
1694664190.2114673,29399,5.877474784851074
1694664863.8555207,29799,5.480123519897461
