Wall time,Step,Value
1694403085.722688,399,59.430442810058594
1694403627.7439792,799,54.10041046142578
1694404164.7952445,1199,56.60898971557617
1694404702.3174067,1599,48.66447448730469
1694405243.570476,1999,40.60616683959961
1694405781.3109524,2399,38.188655853271484
1694406320.7894452,2799,35.19766616821289
1694407108.5721843,3399,28.90283203125
1694407645.6997294,3799,23.23748207092285
1694408181.7058203,4199,21.08925437927246
1694408720.5960724,4599,19.26311492919922
1694409256.269209,4999,18.14984703063965
1694409791.1251302,5399,18.096981048583984
1694410328.3301072,5799,16.982954025268555
1694411111.23635,6399,15.987545013427734
1694411649.6076174,6799,15.111330032348633
1694412187.6612988,7199,14.516754150390625
1694412728.8438349,7599,13.868269920349121
1694413271.3975163,7999,13.679221153259277
1694413814.5849938,8399,13.447415351867676
1694414363.401616,8799,12.749293327331543
1694415152.805835,9399,11.811505317687988
1694415690.3721697,9799,12.03612995147705
1694416228.8445802,10199,11.604677200317383
1694416765.9476352,10599,11.768178939819336
1694417306.569121,10999,11.172321319580078
1694417843.1858807,11399,11.020502090454102
1694418382.825737,11799,10.7716703414917
